dataset,cov_sect,role,field,coverage%,coverage
MAG,C,FP,10-G1,0.0851063829787234,4
OA,C,FP,10-G1,0.06382978723404255,3
CR,C,FP,10-G1,0.02127659574468085,1
comb,C,FP,10-G1,0.14893617021276595,7
MAG,B,FP,10-G1,0.53125,17
OA,B,FP,10-G1,0.09375,3
CR,B,FP,10-G1,0.0,0
comb,B,FP,10-G1,0.53125,17
MAG,A,FP,10-G1,0.6976744186046512,30
OA,A,FP,10-G1,0.4883720930232558,21
CR,A,FP,10-G1,0.4186046511627907,18
comb,A,FP,10-G1,0.7441860465116279,32
MAG,C,FP,10-G1,0.14634146341463414,6
OA,C,FP,10-G1,0.024390243902439025,1
CR,C,FP,10-G1,0.024390243902439025,1
comb,C,FP,10-G1,0.14634146341463414,6
MAG,A,FP,10-G1,0.7692307692307693,30
OA,A,FP,10-G1,0.38461538461538464,15
CR,A,FP,10-G1,0.1282051282051282,5
comb,A,FP,10-G1,0.7948717948717948,31
MAG,C,FP,10-G1,0.09523809523809523,2
OA,C,FP,10-G1,0.047619047619047616,1
CR,C,FP,10-G1,0.0,0
comb,C,FP,10-G1,0.09523809523809523,2
MAG,B,FP,10-G1,0.48,12
OA,B,FP,10-G1,0.12,3
CR,B,FP,10-G1,0.16,4
comb,B,FP,10-G1,0.6,15
MAG,C,FP,10-G1,0.14285714285714285,3
OA,C,FP,10-G1,0.047619047619047616,1
CR,C,FP,10-G1,0.0,0
comb,C,FP,10-G1,0.14285714285714285,3
MAG,B,FP,10-G1,0.6428571428571429,27
OA,B,FP,10-G1,0.16666666666666666,7
CR,B,FP,10-G1,0.07142857142857142,3
comb,B,FP,10-G1,0.6428571428571429,27
MAG,B,FP,10-G1,0.5,21
OA,B,FP,10-G1,0.3333333333333333,14
CR,B,FP,10-G1,0.19047619047619047,8
comb,B,FP,10-G1,0.5238095238095238,22
MAG,C,FP,10-G1,0.3448275862068966,10
OA,C,FP,10-G1,0.2413793103448276,7
CR,C,FP,10-G1,0.1724137931034483,5
comb,C,FP,10-G1,0.41379310344827586,12
MAG,A,FP,10-G1,0.967741935483871,30
OA,A,FP,10-G1,0.8064516129032258,25
CR,A,FP,10-G1,0.4838709677419355,15
comb,A,FP,10-G1,0.967741935483871,30
MAG,A,FP,13-D4,0.9166666666666666,11
OA,A,FP,13-D4,0.6666666666666666,8
CR,A,FP,13-D4,1.0,12
comb,A,FP,13-D4,1.0,12
MAG,A,FP,13-D4,0.9591836734693877,47
OA,A,FP,13-D4,0.8775510204081632,43
CR,A,FP,13-D4,0.7959183673469388,39
comb,A,FP,13-D4,0.9591836734693877,47
MAG,A,FP,13-D4,0.96,24
OA,A,FP,13-D4,1.0,25
CR,A,FP,13-D4,1.0,25
comb,A,FP,13-D4,1.0,25
MAG,A,FP,13-D4,0.9428571428571428,33
OA,A,FP,13-D4,0.8857142857142857,31
CR,A,FP,13-D4,0.8857142857142857,31
comb,A,FP,13-D4,1.0,35
MAG,A,FP,13-D4,0.9130434782608695,21
OA,A,FP,13-D4,0.9565217391304348,22
CR,A,FP,13-D4,0.8260869565217391,19
comb,A,FP,13-D4,0.9130434782608695,21
MAG,A,FP,13-D4,0.9285714285714286,39
OA,A,FP,13-D4,0.7857142857142857,33
CR,A,FP,13-D4,0.7380952380952381,31
comb,A,FP,13-D4,0.9285714285714286,39
MAG,A,FP,13-D4,0.9047619047619048,19
OA,A,FP,13-D4,0.9047619047619048,19
CR,A,FP,13-D4,0.9047619047619048,19
comb,A,FP,13-D4,0.9523809523809523,20
MAG,A,FP,13-D4,0.9705882352941176,33
OA,A,FP,13-D4,0.9117647058823529,31
CR,A,FP,13-D4,0.7941176470588235,27
comb,A,FP,13-D4,0.9705882352941176,33
MAG,A,FP,13-D4,0.9428571428571428,66
OA,A,FP,13-D4,0.8571428571428571,60
CR,A,FP,13-D4,0.7571428571428571,53
comb,A,FP,13-D4,0.9857142857142858,69
MAG,B,FP,13-D4,0.4636363636363636,51
OA,B,FP,13-D4,0.5636363636363636,62
CR,B,FP,13-D4,0.38181818181818183,42
comb,B,FP,13-D4,0.4909090909090909,54
MAG,A,FP,13-D4,1.0,15
