field,role,coverage,classifier,divergent,precision,recall,f1-score,train (Si/No),test (Si/No),pred Si/No,num-features,cand,co-au,cand_comm,comm_cand,BC,CC,cand_other,other_cand,books,articles,other_pubbs,nd_m1,nd_m2,nd_m3,support
10-G1,FP,ABC,decisionTree,False,0.714,0.714,0.714,35 (22/13),35 (13/22),(13/22),1,,,,,X,,,,,,,,,,35.0
10-G1,AP,A,svm_1,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),1,,,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),1,,,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),1,,,,,,X,,,,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),1,,,,,,X,,,,,,,,,35.0
10-G1,FP,ABC,svm_1,False,0.707,0.714,0.7,35 (22/13),35 (13/22),(9/26),1,,,,,,,,,,,X,,,,35.0
10-G1,AP,A,svm_1,False,0.771,0.771,0.771,25 (16/9),35 (17/18),(17/18),2,X,,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.771,0.771,0.771,25 (16/9),35 (17/18),(17/18),2,X,,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,X,,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.02,False,0.749,0.743,0.74,25 (16/9),35 (17/18),(14/21),2,X,,,,,X,,,,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.745,0.714,0.707,25 (16/9),35 (17/18),(23/12),2,X,,,,,X,,,,,,,,,35.0
10-G1,FP,AB,svm_1,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,X,,,,,,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.5,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,X,,,,,,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.1,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,X,,,,,,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.02,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,X,,,,,,,,,,X,,,,28.0
13-D4,FP,A,decisionTree,False,0.778,0.744,0.743,75 (35/40),39 (22/17),(16/23),2,X,,,,,,,,,,X,,,,39.0
13-D4,FP,AB,decisionTree,False,0.742,0.718,0.718,76 (35/41),39 (22/17),(17/22),2,X,,,,,,,,,,X,,,,39.0
13-D4,FP,ABC,decisionTree,False,0.742,0.718,0.718,76 (35/41),39 (22/17),(17/22),2,X,,,,,,,,,,X,,,,39.0
10-G1,FP,AB,svm_1,False,0.823,0.75,0.713,18 (13/5),28 (11/17),(4/24),2,X,,,,,,,,,,,X,,,28.0
10-G1,FP,AB,svm_0.5,False,0.823,0.75,0.713,18 (13/5),28 (11/17),(4/24),2,X,,,,,,,,,,,X,,,28.0
10-G1,FP,AB,svm_0.1,False,0.823,0.75,0.713,18 (13/5),28 (11/17),(4/24),2,X,,,,,,,,,,,X,,,28.0
10-G1,FP,AB,svm_0.02,False,0.823,0.75,0.713,18 (13/5),28 (11/17),(4/24),2,X,,,,,,,,,,,X,,,28.0
10-G1,FP,ABC,decisionTree,False,0.714,0.714,0.714,35 (22/13),35 (13/22),(13/22),2,,X,,,X,,,,,,,,,,35.0
10-G1,AP,A,svm_1,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),2,,X,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),2,,X,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,X,,,,X,,,,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,X,,,,X,,,,,,,,,35.0
10-G1,FP,ABC,decisionTree,False,0.714,0.714,0.714,35 (22/13),35 (13/22),(13/22),2,,,X,,X,,,,,,,,,,35.0
10-G1,AP,A,svm_1,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),2,,,X,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),2,,,X,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,,X,,,X,,,,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,,X,,,X,,,,,,,,,35.0
10-G1,FP,ABC,svm_1,False,0.707,0.714,0.7,35 (22/13),35 (13/22),(9/26),2,,,X,,,,,,,,X,,,,35.0
10-G1,FP,ABC,decisionTree,False,0.714,0.714,0.714,35 (22/13),35 (13/22),(13/22),2,,,,X,X,,,,,,,,,,35.0
10-G1,AP,A,svm_1,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),2,,,,X,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),2,,,,X,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,,,X,,X,,,,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,,,X,,X,,,,,,,,,35.0
10-G1,FP,ABC,svm_1,False,0.707,0.714,0.7,35 (22/13),35 (13/22),(9/26),2,,,,X,,,,,,,X,,,,35.0
10-G1,AP,A,svm_1,False,0.744,0.743,0.743,25 (16/9),35 (17/18),(18/17),2,,,,,X,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,,,,X,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.749,0.743,0.74,25 (16/9),35 (17/18),(14/21),2,,,,,X,X,,,,,,,,,35.0
10-G1,FP,A,svm_1,False,0.747,0.737,0.74,19 (14/5),19 (7/12),(8/11),2,,,,,X,X,,,,,,,,,19.0
10-G1,FP,A,svm_0.5,False,0.747,0.737,0.74,19 (14/5),19 (7/12),(8/11),2,,,,,X,X,,,,,,,,,19.0
10-G1,AP,A,svm_1,False,0.714,0.714,0.714,25 (16/9),35 (17/18),(17/18),2,,,,,,X,X,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.714,0.714,0.714,25 (16/9),35 (17/18),(17/18),2,,,,,,X,X,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.774,0.771,0.77,25 (16/9),35 (17/18),(15/20),2,,,,,,X,X,,,,,,,,35.0
10-G1,AP,A,svm_1,False,0.774,0.771,0.77,25 (16/9),35 (17/18),(15/20),2,,,,,,X,,X,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.749,0.743,0.74,25 (16/9),35 (17/18),(14/21),2,,,,,,X,,X,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.749,0.743,0.74,25 (16/9),35 (17/18),(14/21),2,,,,,,X,,X,,,,,,,35.0
10-G1,AP,AB,svm_1,False,0.714,0.704,0.7,38 (22/16),54 (27/27),(21/33),2,,,,,,X,,X,,,,,,,54.0
10-G1,AP,A,svm_1,False,0.714,0.714,0.714,25 (16/9),35 (17/18),(17/18),2,,,,,,X,,,X,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.714,0.714,0.714,25 (16/9),35 (17/18),(17/18),2,,,,,,X,,,X,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),2,,,,,,X,,,X,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.714,0.714,0.714,25 (16/9),35 (17/18),(17/18),2,,,,,,X,,,X,,,,,,35.0
10-G1,AP,A,svm_1,False,0.714,0.714,0.714,25 (16/9),35 (17/18),(17/18),2,,,,,,X,,,,X,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.714,0.714,0.714,25 (16/9),35 (17/18),(17/18),2,,,,,,X,,,,X,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.749,0.743,0.74,25 (16/9),35 (17/18),(14/21),2,,,,,,X,,,,X,,,,,35.0
10-G1,FP,AB,svm_1,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,,,,,,X,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.5,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,,,,,,X,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.1,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,,,,,,X,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.02,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),2,,,,,,X,,,,,X,,,,28.0
10-G1,AP,A,svm_1,False,0.776,0.771,0.771,13 (7/6),35 (17/18),(19/16),2,,,,,,X,,,,,,X,,,35.0
10-G1,AP,A,svm_0.5,False,0.771,0.771,0.771,13 (7/6),35 (17/18),(17/18),2,,,,,,X,,,,,,X,,,35.0
10-G1,AP,A,svm_1,False,0.714,0.714,0.714,13 (7/6),35 (17/18),(17/18),2,,,,,,X,,,,,,,,X,35.0
10-G1,AP,A,svm_0.5,False,0.714,0.714,0.714,13 (7/6),35 (17/18),(17/18),2,,,,,,X,,,,,,,,X,35.0
10-G1,AP,A,svm_0.1,False,0.724,0.714,0.71,13 (7/6),35 (17/18),(13/22),2,,,,,,X,,,,,,,,X,35.0
10-G1,AP,A,decisionTree,False,0.714,0.714,0.714,13 (7/6),35 (17/18),(17/18),2,,,,,,X,,,,,,,,X,35.0
10-G1,FP,ABC,decisionTree,False,0.714,0.714,0.714,35 (22/13),35 (13/22),(13/22),2,,,,,,,X,X,,,,,,,35.0
13-D4,FP,A,decisionTree,False,0.729,0.718,0.719,75 (35/40),39 (22/17),(19/20),2,,,,,,,,,,X,,,,X,39.0
13-D4,FP,AB,decisionTree,False,0.729,0.718,0.719,76 (35/41),39 (22/17),(19/20),2,,,,,,,,,,X,,,,X,39.0
13-D4,FP,ABC,decisionTree,False,0.729,0.718,0.719,76 (35/41),39 (22/17),(19/20),2,,,,,,,,,,X,,,,X,39.0
10-G1,FP,AB,svm_0.02,False,0.709,0.714,0.708,18 (13/5),28 (11/17),(9/19),2,,,,,,,,,,,X,,,X,28.0
10-G1,AP,A,svm_1,False,0.771,0.771,0.771,25 (16/9),35 (17/18),(17/18),3,X,X,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.771,0.771,0.771,25 (16/9),35 (17/18),(17/18),3,X,X,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),3,X,X,,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.02,False,0.749,0.743,0.74,25 (16/9),35 (17/18),(14/21),3,X,X,,,,X,,,,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.745,0.714,0.707,25 (16/9),35 (17/18),(23/12),3,X,X,,,,X,,,,,,,,,35.0
13-D4,FP,A,decisionTree,False,0.789,0.718,0.711,75 (35/40),39 (22/17),(13/26),3,X,X,,,,,,,,,X,,,,39.0
10-G1,AP,A,svm_1,False,0.771,0.771,0.771,25 (16/9),35 (17/18),(17/18),3,X,,X,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.5,False,0.771,0.771,0.771,25 (16/9),35 (17/18),(17/18),3,X,,X,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.1,False,0.716,0.714,0.713,25 (16/9),35 (17/18),(15/20),3,X,,X,,,X,,,,,,,,,35.0
10-G1,AP,A,svm_0.02,False,0.749,0.743,0.74,25 (16/9),35 (17/18),(14/21),3,X,,X,,,X,,,,,,,,,35.0
10-G1,AP,A,decisionTree,False,0.745,0.714,0.707,25 (16/9),35 (17/18),(23/12),3,X,,X,,,X,,,,,,,,,35.0
10-G1,FP,AB,svm_1,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),3,X,,X,,,,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.5,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),3,X,,X,,,,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.1,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),3,X,,X,,,,,,,,X,,,,28.0
10-G1,FP,AB,svm_0.02,False,0.714,0.714,0.714,26 (18/8),28 (11/17),(11/17),3,X,,X,,,,,,,,X,,,,28.0
13-D4,FP,AB,decisionTree,False,0.761,0.718,0.715,76 (35/41),39 (22/17),(15/24),3,X,,X,,,,,,,,X,,,,39.0
